// Fill tile for whole map
Fill:0
// TileID-X-Y
2,1,3
2,1,4
2,5,-1
2,5,2
2,4,2
2,5,1
2,5,0
2,4,-1
2,6,1
2,7,0
2,7,1
2,9,1
2,9,0
2,8,-1
2,8,2
2,6,0
2,1,2
2,1,1
2,0,3
2,0,2
2,-1,2
2,-1,3
2,-2,2
2,-2,3
2,0,1
2,-1,1
2,-2,1
2,1,0
2,-3,2
2,-5,2
2,-7,2
2,-11,2
2,-9,2
2,-4,5
2,-6,7
2,-8,9
2,-4,-1
2,-8,-5
2,0,-9
2,0,-8
2,0,-7
2,0,-5
2,1,-7
2,2,-7
2,3,-7
2,3,-8
2,3,-9
2,3,-6
2,3,-5
2,5,-5
2,6,-5
2,7,-5
2,6,-6
2,6,-7
2,6,-8
2,6,-9
2,5,-9
2,7,-9
2,-10,-3
2,-12,-1
2,-14,1
2,-15,2
2,-13,2
2,-14,3
2,-12,5
2,-10,7
2,0,-6
2,3,12
2,4,12
2,4,15
2,3,15
2,2,15
2,2,14
2,2,13
2,2,12
2,5,15
2,5,14
2,5,13
2,5,12
2,3,11
2,4,11
2,6,13
2,6,14
2,4,16
2,3,16
2,1,14
2,1,13
2,-6,-3
2,-9,15
2,-7,15
2,-8,15
2,-6,15
2,-6,16
2,-10,16
2,-10,17
2,-10,18
2,-9,19
2,-8,19
2,-7,19
2,-6,18
2,-6,17
2,-6,19
2,-10,19
2,-10,15
2,-9,14
2,-8,14
2,-7,14
2,-8,13
2,-5,16
2,-5,17
2,-5,18
2,-4,17
2,-7,20
2,-8,20
2,-9,20
2,-8,21
2,-11,18
2,-11,17
2,-11,16
2,-12,17
2,9,-11
2,8,-13
2,6,-13
2,3,-13
2,1,-13
2,0,-12
2,-3,-11
2,-4,-11
2,-5,-11
2,-6,-11
2,-7,-11
2,-8,-10
2,-9,-9
2,-10,-8
2,-11,-7
2,-12,-6
2,-13,-5
1,-15,-4
2,-15,-3
2,-16,-2
2,-17,-1
2,-18,0
2,-19,1
2,-20,2
2,-19,3
2,-18,4
2,-17,5
2,-16,6
2,-15,7
2,-13,9
2,-13,10
2,-13,11
2,-13,12
2,-15,13
2,-15,14
2,-15,15
2,-15,16
2,-15,17
2,-15,18
2,-15,19
2,-14,21
2,-13,22
2,-12,23
5,-11,24
5,-10,24
5,-9,24
5,-8,24
5,-7,24
5,-6,24
5,-5,24
5,-4,24
5,-3,24
3,-2,23
2,-1,22
2,0,21
5,1,20
5,2,20
1,3,20
5,5,20
4,6,19
2,8,19
2,9,18
2,10,17
2,11,16
2,12,15
2,13,14
2,14,13
2,14,12
2,15,11
2,16,10
2,16,9
2,16,8
2,16,7
2,16,6
2,16,5
2,16,3
2,16,2
2,15,1
2,14,0
2,13,-1
2,12,-2
2,12,-3
2,12,-4
2,12,-6
2,12,-7
2,12,-8
2,12,-9
2,12,-10
2,12,-11
2,10,-12
2,9,-13
2,7,-13
2,5,-13
2,4,-13
2,2,-13
2,0,-11
2,-1,-12
2,-2,-12
1,-12,-7
1,-15,-7
1,-19,-3
1,-20,-2
1,-21,0
1,-22,0
1,-22,1
1,-19,10
1,-19,14
1,-18,14
1,-18,17
1,-18,20
1,-15,20
1,-8,17
1,-2,16
1,-1,17
1,-7,16
1,-7,17
1,-4,13
1,-4,12
1,-4,10
1,-5,10
1,-6,9
1,-1,8
1,0,7
1,2,6
1,3,5
1,2,-1
1,2,-3
1,1,-4
1,-3,-5
1,-5,-7
1,-5,-14
1,-9,-14
1,-11,-15
1,-13,-15
1,-15,-15
1,-18,-12
1,-19,-11
1,-20,-10
1,-27,-5
1,-28,-1
1,-30,0
1,-32,1
1,-32,3
1,-25,6
1,-31,6
1,-33,7
1,-28,8
1,-20,11
1,-27,11
1,-30,12
1,-24,15
1,-31,16
1,-34,16
1,-33,17
1,-24,19
1,-25,20
1,-30,21
1,-20,22
1,-20,26
1,-21,27
1,-13,28
1,-9,28
1,-10,28
1,-20,29
1,-16,29
1,-9,30
1,-4,27
1,-4,28
1,-3,31
1,-1,26
1,1,23
1,3,22
1,3,26
1,3,28
1,5,18
1,9,16
1,11,14
1,12,11
1,13,10
1,12,13
1,18,15
1,20,11
1,19,7
1,7,8
1,4,8
1,10,8
1,14,9
1,11,6
1,10,4
1,7,6
1,-3,6
1,-8,5
1,-11,5
1,-8,-2
1,-8,-1
1,-12,-2
1,-18,-6
1,-20,-7
1,-24,-7
2,-1,-2
2,-1,20
1,-1,18
2,-3,21
2,-3,22
2,-1,21
2,-2,21
2,-2,22
2,-2,20
2,-1,19
2,-2,19
2,0,19
2,0,20
2,-3,20
2,-3,19
